title,original_price,current_price
Doraemon truyện ngắn - Tập 29 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 40 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 30 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 16 (2022),"18,000₫","16,200₫"
Doraemon tuyển tập theo chủ đề - Tập 10 - ...,"35,000₫","31,500₫"
Doraemon tuyển tập theo chủ đề - Tập 9 - N...,"35,000₫","31,500₫"
Doraemon tuyển tập theo chủ đề - Tập 6 - N...,"35,000₫","31,500₫"
Doraemon tuyển tập theo chủ đề - Tập 5 - N...,"35,000₫","31,500₫"
Doraemon tuyển tập tranh truyện màu kĩ thu...,"25,000₫","22,500₫"
Đội quân Doraemon đặc biệt - Tập 11 (2022),"18,000₫","16,200₫"
Đội quân Doraemon đặc biệt - Tập 10 (2022),"18,000₫","16,200₫"
Đội quân Doraemon đặc biệt - Tập 8 (2022),"18,000₫","16,200₫"
Đội quân Doraemon đặc biệt - Tập 7 (2022),"18,000₫","16,200₫"
Đội quân Doraemon đặc biệt - Tập 5 (2022),"18,000₫","16,200₫"
Đội quân Doraemon đặc biệt - Tập 1 (2022),"18,000₫","16,200₫"
Túi thần kì của Doraemon,"39,000₫","35,100₫"
Doraemon truyện dài - Tập 23 - Nobita và n...,"18,000₫","16,200₫"
Doraemon truyện dài - Tập 5 - Nobita và ch...,"18,000₫","16,200₫"
Doraemon truyện dài - Tập 4 - Nobita và lâ...,"18,000₫","16,200₫"
Doraemon - Đội thám hiểm tại sao - Tập 2,"25,000₫","22,500₫"
Doraemon - Đội thám hiểm tại sao - Tập 1,"25,000₫","22,500₫"
Đội quân Doraemon đặc biệt - Tập 12 (2022),"18,000₫","16,200₫"
Đội quân Doraemon đặc biệt - Tập 4 (2022),"18,000₫","16,200₫"
Đội quân Doraemon đặc biệt - Tập 3 (2022),"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon Tranh truyện màu - Nobita Tây du ...,"25,000₫","22,500₫"
Doraemon Tranh truyện màu - Nobita Tây du ...,"25,000₫","22,500₫"
Doraemon Tranh truyện màu - Nobita và cuộc...,"25,000₫","22,500₫"
Doraemon Tranh truyện màu - Nobita và cuộc...,"25,000₫","22,500₫"
Doraemon tranh truyện màu - Dorami và đội ...,"25,000₫","22,500₫"
Doraemon Tranh truyện màu - Đêm trước đám ...,"25,000₫","22,500₫"
Doraemon tuyển tập theo chủ đề - Tập 1 - N...,"35,000₫","31,500₫"
Doraemon truyện dài - Tập 18 - Nobita du h...,"18,000₫","16,200₫"
Doraemon tuyển tập tranh truyện màu - Tập ...,"40,000₫","36,000₫"
Doraemon tuyển tập tranh truyện màu - Tập ...,"40,000₫","36,000₫"
Doraemon tuyển tập tranh truyện màu - Tập ...,"40,000₫","36,000₫"
Doraemon truyện ngắn - Tập 43 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 42 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 41 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 3,"18,000₫","16,200₫"
